"Code" "Subfamily" "Tribe" "Genus" "Species" "Abundance" "Strata" "Date" "SU" "Trap" "Temperature" "Samp.day" "Month" "Sites"
"126" "C2NF5_42816" "Nymphalinae" "Coeini" "Smyrna" "Smyrna_blomfildia" 1 "Canopy" 2017-03-22 "NF5" "Can2" 26.3 2 "March" "C2NF5M"
"127" "C2NF5_42816" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-03-22 "NF5" "Can2" 26.3 2 "March" "C2NF5M"
"128" "C2NF6_42718" "Satyrinae" "Satyrini" "Forsterinaria" "Forsterinaria_pronophila" 1 "Canopy" 2016-12-14 "NF6" "Can2" 16.7 3 "December" "C2NF6D"
"129" "C2NF6_42722" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-18 "NF6" "Can2" 23.5 5 "December" "C2NF6D"
"130" "C2NF6_42762" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-01-27 "NF6" "Can2" 15.9 5 "January" "C2NF6J"
"131" "C2NF6_42788" "Biblidinae" "Callicorini" "Diaethria" "Diaethria_candrena" 1 "Canopy" 2017-02-22 "NF6" "Can2" 25 3 "February" "C2NF6F"
"132" "C2NF6_42814" "Satyrinae" "Satyrini" "Eteona" "Eteona_tisiphone" 1 "Canopy" 2017-03-20 "NF6" "Can2" 21.9 1 "March" "C2NF6M"
"133" "C2NF6_42816" "Satyrinae" "Satyrini" "Praepedaliodes" "Praepedaliodes_phanias" 1 "Canopy" 2017-03-22 "NF6" "Can2" 21.6 2 "March" "C2NF6M"
"134" "C3NF1_42680" "Biblidinae" "Epiphilini" "Epiphile" "Epiphile_hubneri" 1 "Canopy" 2016-11-06 "NF1" "Can3" 14.1 3 "November" "C3NF1N"
"135" "C3NF1_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF1" "Can3" 24.7 3 "December" "C3NF1D"
"136" "C3NF1_42755" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-01-20 "NF1" "Can3" 20 1 "January" "C3NF1J"
"137" "C3NF1_42757" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-01-22 "NF1" "Can3" 20.6 2 "January" "C3NF1J"
"138" "C3NF1_42787" "Charaxinae" "Anaeini" "Zaretis" "Zaretis_strigosus" 1 "Canopy" 2017-02-21 "NF1" "Can3" 25.1 2 "February" "C3NF1F"
"139" "C3NF2_42680" "Charaxinae" "Anaeini" "Memphis" "Memphis_hirta" 1 "Canopy" 2016-11-06 "NF2" "Can3" 15.8 3 "November" "C3NF2N"
"140" "C3NF2_42680" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-11-06 "NF2" "Can3" 15.8 3 "November" "C3NF2N"
"141" "C3NF2_42681" "Charaxinae" "Anaeini" "Memphis" "Memphis_hirta" 1 "Canopy" 2016-11-07 "NF2" "Can3" 20.2 4 "November" "C3NF2N"
"142" "C3NF2_42717" "Charaxinae" "Preponini" "Archaeoprepona" "Archaeoprepona_chalciope" 1 "Canopy" 2016-12-13 "NF2" "Can3" 30.5 3 "December" "C3NF2D"
"143" "C3NF2_42719" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-15 "NF2" "Can3" 25.2 4 "December" "C3NF2D"
"144" "C3NF2_42719" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-15 "NF2" "Can3" 25.2 4 "December" "C3NF2D"
"145" "C3NF2_42815" "Charaxinae" "Preponini" "Archaeoprepona" "Archaeoprepona_amphimachus" 1 "Canopy" 2017-03-21 "NF2" "Can3" 23.6 2 "March" "C3NF2M"
"146" "C3NF2_42815" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-03-21 "NF2" "Can3" 23.6 2 "March" "C3NF2M"
"147" "C3NF2_42817" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-03-23 "NF2" "Can3" 20 3 "March" "C3NF2M"
"148" "C3NF2_42817" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-03-23 "NF2" "Can3" 20 3 "March" "C3NF2M"
